Description	Iteration	Algorithm	ElapsedSeconds
mushroom	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	1.242560256
mushroom	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	1.179341952
mushroom	1	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	1.739810048
mushroom	1	AlgorithmScripts/Classification/arff/weka/HoeffdingTree/default	1.0436416
mushroom	1	AlgorithmScripts/Classification/arff/weka/HyperPipes/default	0.881854912
mushroom	1	AlgorithmScripts/Classification/arff/weka/J48/default	0.945089536
mushroom	1	AlgorithmScripts/Classification/arff/weka/JRip/default	1.104909056
mushroom	1	AlgorithmScripts/Classification/arff/weka/LibLINEAR/default	1.11189376
mushroom	1	AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron/default	245.961146368
mushroom	1	AlgorithmScripts/Classification/arff/weka/NaiveBayes/default	0.966138112
mushroom	1	AlgorithmScripts/Classification/arff/weka/OneR/default	0.941526336
mushroom	1	AlgorithmScripts/Classification/arff/weka/REPTree/default	1.251713408
mushroom	1	AlgorithmScripts/Classification/arff/weka/RandomForest/default	1.316564608
mushroom	1	AlgorithmScripts/Classification/arff/weka/RandomTree/default	1.115675008
mushroom	1	AlgorithmScripts/Classification/arff/weka/SMO/default	1.780561408
mushroom	1	AlgorithmScripts/Classification/arff/weka/SVM_Linear/default	3.192107776
mushroom	1	AlgorithmScripts/Classification/arff/weka/SVM_Poly/default	24.236136448
mushroom	1	AlgorithmScripts/Classification/arff/weka/SVM_RBF/default	6.268242432
mushroom	1	AlgorithmScripts/Classification/arff/weka/SimpleLogistic/default	3.354615808
mushroom	1	AlgorithmScripts/Classification/arff/weka/VFI/default	0.964012928
mushroom	2	AlgorithmScripts/Classification/arff/weka/Bagging/default	1.209629696
mushroom	2	AlgorithmScripts/Classification/arff/weka/BayesNet/default	1.11277632
mushroom	2	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	1.644414592
mushroom	2	AlgorithmScripts/Classification/arff/weka/HoeffdingTree/default	1.07024768
mushroom	2	AlgorithmScripts/Classification/arff/weka/HyperPipes/default	0.882516224
mushroom	2	AlgorithmScripts/Classification/arff/weka/J48/default	0.92734368
mushroom	2	AlgorithmScripts/Classification/arff/weka/JRip/default	1.078844288
mushroom	2	AlgorithmScripts/Classification/arff/weka/LibLINEAR/default	1.121062528
mushroom	2	AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron/default	241.46583552
mushroom	2	AlgorithmScripts/Classification/arff/weka/NaiveBayes/default	0.96180032
mushroom	2	AlgorithmScripts/Classification/arff/weka/OneR/default	0.90862752
mushroom	2	AlgorithmScripts/Classification/arff/weka/REPTree/default	1.387046528
mushroom	2	AlgorithmScripts/Classification/arff/weka/RandomForest/default	1.421870464
mushroom	2	AlgorithmScripts/Classification/arff/weka/RandomTree/default	1.154249088
mushroom	2	AlgorithmScripts/Classification/arff/weka/SMO/default	1.813064448
mushroom	2	AlgorithmScripts/Classification/arff/weka/SVM_Linear/default	3.252307712
mushroom	2	AlgorithmScripts/Classification/arff/weka/SVM_Poly/default	24.937785344
mushroom	2	AlgorithmScripts/Classification/arff/weka/SVM_RBF/default	6.683553792
mushroom	2	AlgorithmScripts/Classification/arff/weka/SimpleLogistic/default	4.031482624
mushroom	2	AlgorithmScripts/Classification/arff/weka/VFI/default	1.05837856
