Description	Outer_Iteration	Inner_Iteration	Algorithm	Metric	Value
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	AUROC	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Accuracy	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	BalancedAccuracy	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Brier	0.0165192782990664
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	F1	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FDR	0
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FNR	0
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FPR	0
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	MCC	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	MMCE	0
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	NPV	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	PPV	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Precision	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Recall	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	TNR	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	TPR	1
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	AUROC	1
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Accuracy	1
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	BalancedAccuracy	1
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Brier	0.00998568262281747
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	F1	1
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FDR	0
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FNR	0
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FPR	0
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	MCC	1
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	MMCE	0
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	NPV	1
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	PPV	1
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Precision	1
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Recall	1
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	TNR	1
StrongSignal_Both_Docker	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	TPR	1
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	AUROC	1
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Accuracy	1
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	BalancedAccuracy	1
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Brier	0.0198396947603148
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	F1	1
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FDR	0
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FNR	0
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FPR	0
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	MCC	1
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	MMCE	0
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	NPV	1
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	PPV	1
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Precision	1
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Recall	1
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	TNR	1
StrongSignal_Both_Docker	2	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	TPR	1
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	AUROC	1
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Accuracy	1
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	BalancedAccuracy	1
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Brier	0.0369885139878877
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	F1	1
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FDR	0
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FNR	0
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FPR	0
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	MCC	1
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	MMCE	0
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	NPV	1
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	PPV	1
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Precision	1
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Recall	1
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	TNR	1
StrongSignal_Both_Docker	2	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	TPR	1
