Description	Iteration	Fold	Algorithm	ElapsedSeconds
StrongSignal_Both	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	0.730663744
StrongSignal_Both	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	1.027409408
StrongSignal_Both	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	1.31071808
StrongSignal_Both	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_logistic_regression/default	0.851911488
StrongSignal_Both	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	0.733404032
StrongSignal_Both	1	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	0.726464832
StrongSignal_Both	1	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	1.103286016
StrongSignal_Both	1	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	1.357448448
StrongSignal_Both	1	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_logistic_regression/default	0.850610432
StrongSignal_Both	1	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	0.744260672
StrongSignal_Both	2	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	0.849966208
StrongSignal_Both	2	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	1.094914304
StrongSignal_Both	2	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	1.450439552
StrongSignal_Both	2	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_logistic_regression/default	0.89511648
StrongSignal_Both	2	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	0.760974912
StrongSignal_Both	2	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	0.735039232
StrongSignal_Both	2	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	1.010343232
StrongSignal_Both	2	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	1.344094464
StrongSignal_Both	2	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_logistic_regression/default	0.895029824
StrongSignal_Both	2	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	0.781813696
