Feature	Mean_Rank
Feature5	2.1
Feature1	4.3
Feature3	4.8
Feature2	5.7
Feature4	7
Feature51_Low	11.8
Feature52_Low	12.8
Feature52_Medium	13
Feature55_Low	13.4
Feature53_Medium	14.7
Feature51_Medium	14.7
Feature55_Medium	15
Feature54_Low	15.3
Feature54_Medium	17.6
Feature53_Low	22.8
Feature64_Medium	35.3
Feature98_Medium	46.8
Feature47	48.8
Feature43	49.5
Feature23	50.1
Feature91_Medium	54
Feature67_Low	54.3
Feature96_Low	54.4
Feature36	54.4
Feature30	55.1
Feature86_Low	56.3
Feature20	56.4
Feature29	56.6
Feature70_Medium	57.1
Feature89_Low	59.1
Feature87_Medium	60.3
Feature9	61.3
Feature78_Low	61.9
Feature86_Medium	62.1
Feature90_Medium	62.1
Feature11	62.7
Feature80_Medium	63
Feature33	63.5
Feature95_Low	63.8
Feature89_Medium	64.4
Feature25	65.2
Feature37	65.4
Feature6	65.5
Feature42	66
Feature35	66.9
Feature31	67.2
Feature85_Medium	69.9
Feature97_Low	70.6
Feature12	71.8
Feature40	71.8
Feature94_Medium	71.9
Feature82_Low	72.2
Feature65_Medium	72.3
Feature21	72.5
Feature70_Low	73.2
Feature83_Low	73.4
Feature62_Medium	73.6
Feature8	73.6
Feature98_Low	73.8
Feature92_Medium	74.9
Feature97_Medium	75.2
Feature15	76
Feature26	76
Feature95_Medium	76.3
Feature34	77
Feature93_Medium	77.4
Feature87_Low	77.8
Feature46	78.2
Feature32	79.3
Feature27	79.3
Feature79_Medium	79.4
Feature14	80.1
Feature94_Low	80.1
Feature96_Medium	80.6
Feature88_Medium	81.2
Feature17	81.3
Feature58_Medium	81.8
Feature16	82.2
Feature44	82.6
Feature67_Medium	83.4
Feature91_Low	83.6
Feature24	83.7
Feature63_Low	83.8
Feature75_Low	84.2
Feature84_Medium	84.4
Feature48	84.7
Feature59_Medium	84.7
Feature72_Low	84.9
Feature72_Medium	85
Feature18	85.2
Feature13	85.5
Feature73_Low	85.9
Feature63_Medium	86
Feature38	86.1
Feature92_Low	86.2
Feature81_Low	86.7
Feature84_Low	86.9
Feature74_Medium	87.6
Feature28	88.6
Feature66_Low	88.8
Feature82_Medium	89.2
Feature45	89.4
Feature100_Medium	89.4
Feature41	89.9
Feature22	90
Feature60_Medium	91.4
Feature100_Low	92.9
Feature88_Low	93
Feature10	93.6
Feature73_Medium	93.6
Feature19	93.8
Feature61_Medium	94.6
Feature85_Low	95.1
Feature74_Low	95.1
Feature7	95.2
Feature59_Low	95.2
Feature99_Medium	95.3
Feature65_Low	96
Feature39	96.1
Feature90_Low	96.1
Feature56_Low	96.3
Feature60_Low	96.6
Feature93_Low	97.3
Feature62_Low	97.9
Feature71_Medium	98.6
Feature77_Medium	98.6
Feature57_Low	99.8
Feature81_Medium	100.3
Feature58_Low	101.7
Feature64_Low	101.8
Feature49	101.8
Feature99_Low	102.3
Feature57_Medium	102.6
Feature83_Medium	102.9
Feature50	103.3
Feature76_Medium	105.5
Feature80_Low	105.7
Feature76_Low	105.7
Feature61_Low	107
Feature77_Low	109.6
Feature66_Medium	109.6
Feature69_Medium	109.8
Feature79_Low	109.8
Feature68_Medium	110
Feature71_Low	110.7
Feature75_Medium	112.8
Feature68_Low	114.2
Feature78_Medium	114.5
Feature56_Medium	114.6
Feature69_Low	121.1
